Subject Area,Count
Management and Accounting (all),1
Developmental Neuroscience,1
Geometry and Topology,1
Earth and Planetary Sciences (miscellaneous),1
Gender Studies,1
Ecological Modeling,1
Rehabilitation,1
Periodontics,1
Visual Arts and Performing Arts,1
Radiological and Ultrasound Technology,1
Cultural Studies,1
Economics and Econometrics,1
Demography,1
Anatomy,1
Physics and Astronomy (miscellaneous),1
Conservation,1
Earth-Surface Processes,1
Psychology (all),1
Atmospheric Science,1
Reproductive Medicine,1
Logic,1
Computer Science (miscellaneous),1
Language and Linguistics,1
Endocrine and Autonomic Systems,1
Linguistics and Language,1
Developmental Biology,1
