Title,Source,Link,Authors,Abstract,Publication Date,Keywords,Subject Area
Multifunctional Nacre-Like Nanocomposite Papers for Electromagnetic Interference Shielding via Heterocyclic Aramid/MXene Template-Assisted In-Situ Polypyrrole Assembly,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85208496618,Xiong J.,,2025-12-01,,materials science
A Mini Review on Biologically Innovative Solution for Biodegradation of Plastics/Microplastics by the Use of Superworms,Current Pollution Reports,https://api.elsevier.com/content/abstract/scopus_id/85208477680,Iswahyudi I.,,2025-12-01,,materials science
Using the sociopolitical motive × intergroup threat model of intergroup relations to understand opposition to policies that promote social equality,Social Issues and Policy Review,https://api.elsevier.com/content/abstract/scopus_id/85208442041,Ho A.K.,,2025-12-01,,materials science
Shale sample permeability estimation using fractal parameters computed from TransUnet-based SEM image segmentation,Computers and Geosciences,https://api.elsevier.com/content/abstract/scopus_id/85208172515,Liu K.,,2025-12-01,,materials science
Genome-Wide Identification of Pitaya (Hylocereus polyrhizus) TCPs and their Involvement in Flower Development and Abiotic Stress Response,Tropical Plant Biology,https://api.elsevier.com/content/abstract/scopus_id/85208092732,Xiao L.,,2025-12-01,,materials science
Soft-tissue keratocyst: report of 3 new cases from Brazil,Oral and Maxillofacial Surgery,https://api.elsevier.com/content/abstract/scopus_id/85208082522,de Freitas Gonçalves T.O.,,2025-12-01,,materials science
A novel algorithm for identifying arrival times of P and S Waves in seismic borehole surveys,Computers and Geosciences,https://api.elsevier.com/content/abstract/scopus_id/85207779260,Anbazhagan P.,,2025-12-01,,materials science
A Flexible Smart Healthcare Platform Conjugated with Artificial Epidermis Assembled by Three-Dimensionally Conductive MOF Network for Gas and Pressure Sensing,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85207695719,Zhou Q.,,2025-12-01,,materials science
Scalable Ir-Doped NiFe<inf>2</inf>O<inf>4</inf>/TiO<inf>2</inf> Heterojunction Anode for Decentralized Saline Wastewater Treatment and H<inf>2</inf> Production,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85207693971,Hong S.,,2025-12-01,,materials science
"Inter-Skeleton Conductive Routes Tuning Multifunctional Conductive Foam for Electromagnetic Interference Shielding, Sensing and Thermal Management",Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85207692953,Li X.,,2025-12-01,,materials science
Tennis teaching assistance model based on double chain shared unsupervised action recognition algorithm,International Journal of Cognitive Computing in Engineering,https://api.elsevier.com/content/abstract/scopus_id/85207597790,Bai H.,,2025-12-01,,materials science
"Correction to: A Comprehensive Review of Sexual Health and Reproductive Rights Among Women Refugees: The Case of Syrian Refugee Women in Lebanon (Current Sexual Health Reports, (2024), 16, 3, (177-184), 10.1007/s11930-024-00387-0)",Current Sexual Health Reports,https://api.elsevier.com/content/abstract/scopus_id/85207519855,Fakahany S.E.,,2025-12-01,,materials science
Solution-Processed Thin Film Transparent Photovoltaics: Present Challenges and Future Development,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85207423814,Liu T.,,2025-12-01,,materials science
Dynamic Regulation of Hydrogen Bonding Networks and Solvation Structures for Synergistic Solar-Thermal Desalination of Seawater and Catalytic Degradation of Organic Pollutants,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85207390797,Yu M.Y.,,2025-12-01,,materials science
Integration of Electrical Properties and Polarization Loss Modulation on Atomic Fe–N-RGO for Boosting Electromagnetic Wave Absorption,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85207082423,Zhang K.,,2025-12-01,,materials science
Sulfolane-Based Flame-Retardant Electrolyte for High-Voltage Sodium-Ion Batteries,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85207058077,He X.,,2025-12-01,,materials science
Graphene Aerogel Composites with Self-Organized Nanowires-Packed Honeycomb Structure for Highly Efficient Electromagnetic Wave Absorption,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85206977159,You X.,,2025-12-01,,materials science
Recent Advances and Prospective Challenges of Iron Metal–Organic Framework (MOF) Catalysts in Electrochemical Fenton Treatment Technologies,Current Pollution Reports,https://api.elsevier.com/content/abstract/scopus_id/85206894628,Fisher T.M.,,2025-12-01,,materials science
Optimizing breast cancer diagnosis: Harnessing the power of nature-inspired metaheuristics for feature selection with soft voting classifiers,International Journal of Cognitive Computing in Engineering,https://api.elsevier.com/content/abstract/scopus_id/85206830427,Benghazouani S.,,2025-12-01,,materials science
Impact of Retroperitoneal Lymphadenopathy (RPLN) on the Outcomes of Locally Advanced Gall Bladder Cancer (GBC) Following Chemotherapy (CT) or Chemotherapy Followed by Consolidation Chemoradiotherapy (CTRT),Journal of Gastrointestinal Cancer,https://api.elsevier.com/content/abstract/scopus_id/85206603745,Agrawal S.,,2025-12-01,,materials science
Gradient-Layered MXene/Hollow Lignin Nanospheres Architecture Design for Flexible and Stretchable Supercapacitors,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85206568639,Zhang H.,,2025-12-01,,materials science
Unleashing the Potential of Electroactive Hybrid Biomaterials and Self-Powered Systems for Bone Therapeutics,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85206567113,Liu S.,,2025-12-01,,materials science
A Rapid Adaptation Approach for Dynamic Air-Writing Recognition Using Wearable Wristbands with Self-Supervised Contrastive Learning,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85206499030,Guo Y.,,2025-12-01,,materials science
Ultra-High Sensitivity Anisotropic Piezoelectric Sensors for Structural Health Monitoring and Robotic Perception,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85206498331,Yin H.,,2025-12-01,,materials science
Porous Organic Cage-Based Quasi-Solid-State Electrolyte with Cavity-Induced Anion-Trapping Effect for Long-Life Lithium Metal Batteries,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85206498022,Qin W.M.,,2025-12-01,,materials science
Magneto-Dielectric Synergy and Multiscale Hierarchical Structure Design Enable Flexible Multipurpose Microwave Absorption and Infrared Stealth Compatibility,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85206497239,Li C.,,2025-12-01,,materials science
Efficient and Stable Perovskite Solar Cells and Modules Enabled by Tailoring Additive Distribution According to the Film Growth Dynamics,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85206462656,Ma M.,,2025-12-01,,materials science
"Antibiotic Removal Based on Constructed Wetland: Mechanism, Performance, and Regulation",Current Pollution Reports,https://api.elsevier.com/content/abstract/scopus_id/85206458143,Yang M.,,2025-12-01,,materials science
An Unprecedented Efficiency with Approaching 21% Enabled by Additive-Assisted Layer-by-Layer Processing in Organic Solar Cells,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85206449258,Xu S.,,2025-12-01,,materials science
MoS<inf>2</inf> Lubricate-Toughened MXene/ANF Composites for Multifunctional Electromagnetic Interference Shielding,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85206393748,Wang J.,,2025-12-01,,materials science
Molecular Structure Tailoring of Organic Spacers for High-Performance Ruddlesden–Popper Perovskite Solar Cells,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85206360743,Liu P.,,2025-12-01,,materials science
Nano-Fertilizers (NFs) for Resurgence in Nutrient Use Efficiency (NUE): a Sustainable Agricultural Strategy,Current Pollution Reports,https://api.elsevier.com/content/abstract/scopus_id/85206262596,Pudhuvai B.,,2025-12-01,,materials science
"Chemical Concentrations, Source Emission, Potential Toxicity, and Health Risk of Ambient Fine Particulate Matter and Its Constituents: A Recent Literature Review",Current Pollution Reports,https://api.elsevier.com/content/abstract/scopus_id/85206257480,Bachwenkizi J.,,2025-12-01,,materials science
Automatic intrusion detection model with secure data storage on cloud using adaptive cyclic shift transposition with enhanced ANFIS classifier,Cyber Security and Applications,https://api.elsevier.com/content/abstract/scopus_id/85206073157,K V K C.,,2025-12-01,,materials science
Flexible Graphene Field-Effect Transistors and Their Application in Flexible Biomedical Sensing,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85206070184,Sun M.,,2025-12-01,,materials science
Optimization Strategies of Na<inf>3</inf>V<inf>2</inf>(PO<inf>4</inf>)<inf>3</inf> Cathode Materials for Sodium-Ion Batteries,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85205954430,Hu J.,,2025-12-01,,materials science
Aligned Ion Conduction Pathway of Polyrotaxane-Based Electrolyte with Dispersed Hydrophobic Chains for Solid-State Lithium–Oxygen Batteries,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85205911045,Kim B.,,2025-12-01,,materials science
High Fe-Loading Single-Atom Catalyst Boosts ROS Production by Density Effect for Efficient Antibacterial Therapy,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85205852147,Chen S.,,2025-12-01,,materials science
Granulomas in Common Variable Immunodeficiency Display Different Histopathological Features Compared to Other Granulomatous Diseases,Journal of Clinical Immunology,https://api.elsevier.com/content/abstract/scopus_id/85205783247,van Stigt A.C.,,2025-12-01,,materials science
Recent Advancements in Prostate Catheters and Stents for Management of Benign Prostatic Hyperplasia,Current Urology Reports,https://api.elsevier.com/content/abstract/scopus_id/85205782208,Lama J.,,2025-12-01,,materials science
3D Printing of Tough Hydrogel Scaffolds with Functional Surface Structures for Tissue Regeneration,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85205739051,Yao K.,,2025-12-01,,materials science
Defects-Rich Heterostructures Trigger Strong Polarization Coupling in Sulfides/Carbon Composites with Robust Electromagnetic Wave Absorption,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85205731251,Liu J.,,2025-12-01,,materials science
Locally Enhanced Flow and Electric Fields Through a Tip Effect for Efficient Flow-Electrode Capacitive Deionization,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85205720532,Wang Z.,,2025-12-01,,materials science
"High-Entropy Electrode Materials: Synthesis, Properties and Outlook",Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85205718654,Li D.,,2025-12-01,,materials science
An Efficient Boron Source Activation Strategy for the Low-Temperature Synthesis of Boron Nitride Nanotubes,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85205710315,Wang Y.,,2025-12-01,,materials science
Exploring Nanoscale Perovskite Materials for Next-Generation Photodetectors: A Comprehensive Review and Future Directions,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85205702776,Li X.,,2025-12-01,,materials science
Engineered Cancer Nanovaccines: A New Frontier in Cancer Therapy,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85205690998,Wang Y.,,2025-12-01,,materials science
Recent Advances in Fibrous Materials for Hydroelectricity Generation,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85205687973,Ge C.,,2025-12-01,,materials science
Bioinspired Passive Tactile Sensors Enabled by Reversible Polarization of Conjugated Polymers,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85204940332,He F.,,2025-12-01,,materials science
Ultra-Transparent and Multifunctional IZVO Mesh Electrodes for Next-Generation Flexible Optoelectronics,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85204939817,Nirmal K.A.,,2025-12-01,,materials science
Smart Cellulose-Based Janus Fabrics with Switchable Liquid Transportation for Personal Moisture and Thermal Management,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85204939265,Xi J.,,2025-12-01,,materials science
“Zero-Strain” NiNb<inf>2</inf>O<inf>6</inf> Fibers for All-Climate Lithium Storage,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85204939089,Zhao Y.,,2025-12-01,,materials science
Advances in Graphene-Based Electrode for Triboelectric Nanogenerator,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85204936102,Xie B.,,2025-12-01,,materials science
Alternative Strategy for Development of Dielectric Calcium Copper Titanate-Based Electrolytes for Low-Temperature Solid Oxide Fuel Cells,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85204935955,Rauf S.,,2025-12-01,,materials science
Boosting Oxygen Evolution Reaction Performance on NiFe-Based Catalysts Through d-Orbital Hybridization,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85204935815,Wang X.,,2025-12-01,,materials science
Second-order nonlocal shifts of scattered wave-packets: What can be measured by Goos–Hänchen and Imbert–Fedorov effects?,Reviews in Physics,https://api.elsevier.com/content/abstract/scopus_id/85210083000,Morawetz K.,,2025-12-01,,mechanical engineering
Enhancing Surface Properties of Circular Carbon Biochar Derived from Spent Coffee Beans Through ZnCl<inf>2</inf>/KOH Activation,Bioenergy Research,https://api.elsevier.com/content/abstract/scopus_id/85210082609,D G.,,2025-12-01,,mechanical engineering
Fostering Entrepreneurial intentions: exploring the interplay of education and endogenous factors,International Entrepreneurship and Management Journal,https://api.elsevier.com/content/abstract/scopus_id/85209820540,Kariv D.,,2025-12-01,,mechanical engineering
Nanograting-Based Dynamic Structural Colors Using Heterogeneous Materials,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209776714,Wang J.,,2025-12-01,,mechanical engineering
Unpacking the drivers of the socio-environmental sustainability of new ventures: insights from innovative digital start-ups in Italy,International Entrepreneurship and Management Journal,https://api.elsevier.com/content/abstract/scopus_id/85209775477,Mazzoni L.,,2025-12-01,,mechanical engineering
Exploring the Potential of Syngas Fermentation for Recovery of High-Value Resources: A Comprehensive Review,Current Pollution Reports,https://api.elsevier.com/content/abstract/scopus_id/85209754513,Neto A.S.,,2025-12-01,,mechanical engineering
Bioinspired Ultrasensitive Flexible Strain Sensors for Real-Time Wireless Detection of Liquid Leakage,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209736908,Zhou W.,,2025-12-01,,mechanical engineering
Direct Photolithography of WO<inf>x</inf> Nanoparticles for High-Resolution Non-Emissive Displays,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209729690,Gu C.,,2025-12-01,,mechanical engineering
MXene Hybridized Polymer with Enhanced Electromagnetic Energy Harvest for Sensitized Microwave Actuation and Self-Powered Motion Sensing,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209553128,Wang Y.Z.,,2025-12-01,,mechanical engineering
Low-Temperature Fabrication of Stable Black-Phase CsPbI<inf>3</inf> Perovskite Flexible Photodetectors Toward Wearable Health Monitoring,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209545234,Zhao Y.,,2025-12-01,,mechanical engineering
Flexible Strain Sensors with Ultra-High Sensitivity and Wide Range Enabled by Crack-Modulated Electrical Pathways,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209539663,Bai Y.,,2025-12-01,,mechanical engineering
Evaluating digital maturity in specialized enterprises: a multi-criteria decision-making approach,International Entrepreneurship and Management Journal,https://api.elsevier.com/content/abstract/scopus_id/85209360846,Zhu Y.,,2025-12-01,,mechanical engineering
